EXP No,Flag,MAC Address,Advertising Data,Manufacturer Specific Data,SS at 0.02m,SS at 0.5m,SS at 1m,SS at 3m,SS at 5m,DM at 0.02m,DM at 0.5m,DM at 1m,DM at 3m,DM at 5m,Detected
133,0,E3:85:FB:F3:B9:E1,0X1EFF4C00121910D2FC25FF3436B1E9447990806A050581C3453369289603E1,0X121910D2FC25FF3436B1E9447990806A050581C3453369289603E1,-22,-47,-52,-73,-81,0.251,1.578,1.472,2.129,6.714,Yes
134,0,E3:85:FB:F3:B9:E1,0X1EFF4C00121910D2FC25FF3436B1E9447990806A050581C345336928960374,0X121910D2FC25FF3436B1E9447990806A050581C345336928960374,-28,-48,-55,-71,-83,0.416,1.413,2.422,2.101,7.885,Yes
135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
136,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
137,0,FF:E8:3B:14:1C:B8,0X1EFF4C0012191018DF0AD33AC75EF359AEE5CB3B70C9FDB05D8E86EC7402B8,0X12191018DF0AD33AC75EF359AEE5CB3B70C9FDB05D8E86EC7402B8,-26,-49,-63,-72,-79,0.495,1.99,2.415,2.943,7.705,Yes
138,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
139,0,C8:16:46:95:31:34,0X1EFF4C0012191094ACA0202747A0D03EE9D77C1DC12FEB13708AC539B00034,0X12191094ACA0202747A0D03EE9D77C1DC12FEB13708AC539B00034,-28,-48,-60,-70,-83,0.4,2.024,1.105,2.063,6.267,Yes
140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
141,0,F8:C7:9E:74:68:97,0X1EFF4C001219109BF344DDFF66F6FA38BB12A264138D1E330F75DA79FD0231,0X1219109BF344DDFF66F6FA38BB12A264138D1E330F75DA79FD0231,-23,-45,-61,-70,-80,0.464,1.143,2.408,5.198,4.928,Yes
142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
143,0,CB:7E:76:E6:C8:FE,0X1EFF4C00121910220D376736FD15B442C62F9D08A5DC8ABD79B01A7CC20367,0X121910220D376736FD15B442C62F9D08A5DC8ABD79B01A7CC20367,-24,-45,-54,-71,NA,0.341,1.335,2.439,3.225,NA,Yes
144,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,No
145,0,E5:84:13:7C:63:67,0X1EFF4C00121910A8A62498EEB950B7BD66494203B0BB891517509EECA10367,0X121910A8A62498EEB950B7BD66494203B0BB891517509EECA10367,-23,-47,-53,-72,NA,0.251,1.793,0.875,4.698,NA,Yes
146,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,No
147,0,D2:49:B6:F2:60:31,0X1EFF4C00121910A582A34C8E406A2B067F9B3EBA838C549129E8A8C87F0131,0X121910A582A34C8E406A2B067F9B3EBA838C549129E8A8C87F0131,-23,-49,-63,-74,NA,0.351,1.269,2.081,3.879,NA,Yes
148,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
149,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
150,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
151,0,F8:7A:33:CE:F4:6D,0X1EFF4C00121910E12AD489C479BBC90A6F15FE7B853C7866FF00E01BC456E9,0X121910E12AD489C479BBC90A6F15FE7B853C7866FF00E01BC456E9,-25,-45,-59,-73,NA,0.384,0.869,1.98,4.317,NA,Yes
152,0,F8:7A:33:CE:F4:6D,0X1EFF4C00121910E12AD489C479BBC90A6F15FE7B853C7866FF00E01BC456E9,0X121910E12AD489C479BBC90A6F15FE7B853C7866FF00E01BC456E9,-26,-45,-57,-73,NA,0.287,1.676,2.158,4.65,NA,Yes
153,0,F8:7A:33:CE:F4:6D,0X1EFF4C00121910E12AD489C479BBC90A6F15FE7B853C7866FF00E01BC45625,0X121910E12AD489C479BBC90A6F15FE7B853C7866FF00E01BC45625,-23,-48,-61,-73,NA,0.299,1.821,2.096,4.998,NA,Yes
154,0,F8:7A:33:CE:F4:6D,0X1EFF4C00121910E12AD489C479BBC90A6F15FE7B853C7866FF00E01BC45625,0X121910E12AD489C479BBC90A6F15FE7B853C7866FF00E01BC45625,-22,-49,-53,-72,NA,0.431,1.782,1.617,5.207,NA,Yes
155,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
156,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
157,0,E8:33:10:AB:1D:C0,0X1EFF4C00121910EE046A3C7D7899AA023C66CF93A170DD0BC626A72E0C34F3,0X121910EE046A3C7D7899AA023C66CF93A170DD0BC626A72E0C34F3,-27,-47,-56,-73,-76,0.408,0.983,2.399,3.288,6.101,Yes
158,0,E8:33:10:AB:1D:C0,0X1EFF4C00121910EE046A3C7D7899AA023C66CF93A170DD0BC626A72E0C34BC,0X121910EE046A3C7D7899AA023C66CF93A170DD0BC626A72E0C34BC,-22,-49,-58,-71,-84,0.292,0.912,1.512,2.713,7.985,Yes
